Ukazatel,Území,Měsíce,Komodity SITC,value
"Dovoz (v mil. Kč, CIF)",Česko,srpen 2023,"4 Živočišné a rostlinné oleje, tuky a vosky",1072.499057
"Dovoz (v mil. Kč, CIF)",Česko,srpen 2023,"5 Chemikálie a příbuzné výrobky, j. n.",41477.015835
"Dovoz (v mil. Kč, CIF)",Česko,srpen 2023,6 Tržní výrobky tříděné hlavně podle materiálu,55538.317133
"Dovoz (v mil. Kč, CIF)",Česko,srpen 2023,7 Stroje a dopravní prostředky,145756.563564
"Dovoz (v mil. Kč, CIF)",Česko,srpen 2023,8 Průmyslové spotřební zboží,39532.398285
"Dovoz (v mil. Kč, CIF)",Česko,srpen 2023,"9 Komodity a předměty obchodu, j. n.",706.765096
"Dovoz (v mil. Kč, CIF)",Česko,červenec 2023,0 Potraviny a živá zvířata,18779.639386
"Dovoz (v mil. Kč, CIF)",Česko,červenec 2023,1 Nápoje a tabák,4163.860032
"Dovoz (v mil. Kč, CIF)",Česko,červenec 2023,"2 Suroviny nepoživatelné, s výjimkou paliv",6305.287599
"Dovoz (v mil. Kč, CIF)",Česko,červenec 2023,"3 Minerální paliva, maziva a příbuzné materiály",24982.911245
"Dovoz (v mil. Kč, CIF)",Česko,červenec 2023,"4 Živočišné a rostlinné oleje, tuky a vosky",998.637735
"Dovoz (v mil. Kč, CIF)",Česko,červenec 2023,"5 Chemikálie a příbuzné výrobky, j. n.",37752.831806
"Dovoz (v mil. Kč, CIF)",Česko,červenec 2023,6 Tržní výrobky tříděné hlavně podle materiálu,51917.007269
"Dovoz (v mil. Kč, CIF)",Česko,červenec 2023,7 Stroje a dopravní prostředky,141566.477311
"Dovoz (v mil. Kč, CIF)",Česko,červenec 2023,8 Průmyslové spotřební zboží,36231.601752
"Dovoz (v mil. Kč, CIF)",Česko,červenec 2023,"9 Komodity a předměty obchodu, j. n.",647.936769
"Dovoz (v mil. Kč, CIF)",Česko,červen 2023,0 Potraviny a živá zvířata,21184.896014
"Dovoz (v mil. Kč, CIF)",Česko,červen 2023,1 Nápoje a tabák,3758.50624
"Dovoz (v mil. Kč, CIF)",Česko,červen 2023,"2 Suroviny nepoživatelné, s výjimkou paliv",6700.793527
"Dovoz (v mil. Kč, CIF)",Česko,červen 2023,"3 Minerální paliva, maziva a příbuzné materiály",26778.592293
"Dovoz (v mil. Kč, CIF)",Česko,červen 2023,"4 Živočišné a rostlinné oleje, tuky a vosky",1167.12721
"Dovoz (v mil. Kč, CIF)",Česko,červen 2023,"5 Chemikálie a příbuzné výrobky, j. n.",45681.14207
"Dovoz (v mil. Kč, CIF)",Česko,červen 2023,6 Tržní výrobky tříděné hlavně podle materiálu,64074.451899
"Dovoz (v mil. Kč, CIF)",Česko,červen 2023,7 Stroje a dopravní prostředky,171563.8475
"Dovoz (v mil. Kč, CIF)",Česko,červen 2023,8 Průmyslové spotřební zboží,42428.425957
"Dovoz (v mil. Kč, CIF)",Česko,červen 2023,"9 Komodity a předměty obchodu, j. n.",1117.436107
"Dovoz (v mil. Kč, CIF)",Česko,květen 2023,0 Potraviny a živá zvířata,20850.39047
"Dovoz (v mil. Kč, CIF)",Česko,květen 2023,1 Nápoje a tabák,3766.88535
"Dovoz (v mil. Kč, CIF)",Česko,květen 2023,"2 Suroviny nepoživatelné, s výjimkou paliv",7142.728906
"Dovoz (v mil. Kč, CIF)",Česko,květen 2023,"3 Minerální paliva, maziva a příbuzné materiály",27940.106807
"Dovoz (v mil. Kč, CIF)",Česko,květen 2023,"4 Živočišné a rostlinné oleje, tuky a vosky",1195.163116
"Dovoz (v mil. Kč, CIF)",Česko,květen 2023,"5 Chemikálie a příbuzné výrobky, j. n.",42691.644177
"Dovoz (v mil. Kč, CIF)",Česko,květen 2023,6 Tržní výrobky tříděné hlavně podle materiálu,61681.418828
"Dovoz (v mil. Kč, CIF)",Česko,květen 2023,7 Stroje a dopravní prostředky,167835.021836
"Dovoz (v mil. Kč, CIF)",Česko,květen 2023,8 Průmyslové spotřební zboží,40073.395873
"Dovoz (v mil. Kč, CIF)",Česko,květen 2023,"9 Komodity a předměty obchodu, j. n.",1020.514961
"Dovoz (v mil. Kč, CIF)",Česko,duben 2023,0 Potraviny a živá zvířata,18593.601089
"Dovoz (v mil. Kč, CIF)",Česko,duben 2023,1 Nápoje a tabák,2981.126745
"Dovoz (v mil. Kč, CIF)",Česko,duben 2023,"2 Suroviny nepoživatelné, s výjimkou paliv",7181.535323
"Dovoz (v mil. Kč, CIF)",Česko,duben 2023,"3 Minerální paliva, maziva a příbuzné materiály",22878.719579
"Dovoz (v mil. Kč, CIF)",Česko,duben 2023,"4 Živočišné a rostlinné oleje, tuky a vosky",917.571986
"Dovoz (v mil. Kč, CIF)",Česko,duben 2023,"5 Chemikálie a příbuzné výrobky, j. n.",41584.884816
"Dovoz (v mil. Kč, CIF)",Česko,duben 2023,6 Tržní výrobky tříděné hlavně podle materiálu,56572.000702
"Dovoz (v mil. Kč, CIF)",Česko,duben 2023,7 Stroje a dopravní prostředky,149946.099264
"Dovoz (v mil. Kč, CIF)",Česko,duben 2023,8 Průmyslové spotřební zboží,36653.309775
"Dovoz (v mil. Kč, CIF)",Česko,duben 2023,"9 Komodity a předměty obchodu, j. n.",1024.452839
"Dovoz (v mil. Kč, CIF)",Česko,březen 2023,0 Potraviny a živá zvířata,22702.522769
"Dovoz (v mil. Kč, CIF)",Česko,březen 2023,1 Nápoje a tabák,3548.298336
"Dovoz (v mil. Kč, CIF)",Česko,březen 2023,"2 Suroviny nepoživatelné, s výjimkou paliv",9081.399633
"Dovoz (v mil. Kč, CIF)",Česko,březen 2023,"3 Minerální paliva, maziva a příbuzné materiály",25858.808232
"Dovoz (v mil. Kč, CIF)",Česko,březen 2023,"4 Živočišné a rostlinné oleje, tuky a vosky",1153.901687
"Dovoz (v mil. Kč, CIF)",Česko,březen 2023,"5 Chemikálie a příbuzné výrobky, j. n.",46610.292235
"Dovoz (v mil. Kč, CIF)",Česko,březen 2023,6 Tržní výrobky tříděné hlavně podle materiálu,70363.444063
"Dovoz (v mil. Kč, CIF)",Česko,březen 2023,7 Stroje a dopravní prostředky,179712.011542
"Dovoz (v mil. Kč, CIF)",Česko,březen 2023,8 Průmyslové spotřební zboží,44027.327318
"Dovoz (v mil. Kč, CIF)",Česko,březen 2023,"9 Komodity a předměty obchodu, j. n.",1380.87314
"Dovoz (v mil. Kč, CIF)",Česko,únor 2023,0 Potraviny a živá zvířata,19648.180952
"Dovoz (v mil. Kč, CIF)",Česko,únor 2023,1 Nápoje a tabák,3396.061846
"Dovoz (v mil. Kč, CIF)",Česko,únor 2023,"2 Suroviny nepoživatelné, s výjimkou paliv",7336.264794
"Dovoz (v mil. Kč, CIF)",Česko,únor 2023,"3 Minerální paliva, maziva a příbuzné materiály",23768.370602
"Dovoz (v mil. Kč, CIF)",Česko,únor 2023,"4 Živočišné a rostlinné oleje, tuky a vosky",924.97518
"Dovoz (v mil. Kč, CIF)",Česko,únor 2023,"5 Chemikálie a příbuzné výrobky, j. n.",42275.448253
"Dovoz (v mil. Kč, CIF)",Česko,únor 2023,6 Tržní výrobky tříděné hlavně podle materiálu,61832.738069
"Dovoz (v mil. Kč, CIF)",Česko,únor 2023,7 Stroje a dopravní prostředky,146157.724433
"Dovoz (v mil. Kč, CIF)",Česko,únor 2023,8 Průmyslové spotřební zboží,37957.074566
"Dovoz (v mil. Kč, CIF)",Česko,únor 2023,"9 Komodity a předměty obchodu, j. n.",1656.664312
"Dovoz (v mil. Kč, CIF)",Česko,leden 2023,0 Potraviny a živá zvířata,19547.211789
"Dovoz (v mil. Kč, CIF)",Česko,leden 2023,1 Nápoje a tabák,2793.175897
"Dovoz (v mil. Kč, CIF)",Česko,leden 2023,"2 Suroviny nepoživatelné, s výjimkou paliv",8013.31362
"Dovoz (v mil. Kč, CIF)",Česko,leden 2023,"3 Minerální paliva, maziva a příbuzné materiály",29440.497566
"Dovoz (v mil. Kč, CIF)",Česko,leden 2023,"4 Živočišné a rostlinné oleje, tuky a vosky",1050.747521
"Dovoz (v mil. Kč, CIF)",Česko,leden 2023,"5 Chemikálie a příbuzné výrobky, j. n.",44040.486356
"Dovoz (v mil. Kč, CIF)",Česko,leden 2023,6 Tržní výrobky tříděné hlavně podle materiálu,59386.070416
"Dovoz (v mil. Kč, CIF)",Česko,leden 2023,7 Stroje a dopravní prostředky,161552.98437
"Dovoz (v mil. Kč, CIF)",Česko,leden 2023,8 Průmyslové spotřební zboží,38943.801629
"Dovoz (v mil. Kč, CIF)",Česko,leden 2023,"9 Komodity a předměty obchodu, j. n.",1374.699305
"Dovoz (v mil. Kč, CIF)",Česko,prosinec 2022,0 Potraviny a živá zvířata,
"Dovoz (v mil. Kč, CIF)",Česko,prosinec 2022,1 Nápoje a tabák,
"Dovoz (v mil. Kč, CIF)",Česko,prosinec 2022,"2 Suroviny nepoživatelné, s výjimkou paliv",
"Dovoz (v mil. Kč, CIF)",Česko,prosinec 2022,"3 Minerální paliva, maziva a příbuzné materiály",
"Dovoz (v mil. Kč, CIF)",Česko,prosinec 2022,"4 Živočišné a rostlinné oleje, tuky a vosky",
"Dovoz (v mil. Kč, CIF)",Česko,prosinec 2022,"5 Chemikálie a příbuzné výrobky, j. n.",
"Dovoz (v mil. Kč, CIF)",Česko,prosinec 2022,6 Tržní výrobky tříděné hlavně podle materiálu,
"Dovoz (v mil. Kč, CIF)",Česko,prosinec 2022,7 Stroje a dopravní prostředky,
"Dovoz (v mil. Kč, CIF)",Česko,prosinec 2022,8 Průmyslové spotřební zboží,
"Dovoz (v mil. Kč, CIF)",Česko,prosinec 2022,"9 Komodity a předměty obchodu, j. n.",
"Dovoz (v mil. Kč, CIF)",Česko,listopad 2022,0 Potraviny a živá zvířata,
"Dovoz (v mil. Kč, CIF)",Česko,listopad 2022,1 Nápoje a tabák,
"Dovoz (v mil. Kč, CIF)",Česko,listopad 2022,"2 Suroviny nepoživatelné, s výjimkou paliv",
"Dovoz (v mil. Kč, CIF)",Česko,listopad 2022,"3 Minerální paliva, maziva a příbuzné materiály",
"Dovoz (v mil. Kč, CIF)",Česko,listopad 2022,"4 Živočišné a rostlinné oleje, tuky a vosky",
"Dovoz (v mil. Kč, CIF)",Česko,listopad 2022,"5 Chemikálie a příbuzné výrobky, j. n.",
"Dovoz (v mil. Kč, CIF)",Česko,listopad 2022,6 Tržní výrobky tříděné hlavně podle materiálu,
"Dovoz (v mil. Kč, CIF)",Česko,listopad 2022,7 Stroje a dopravní prostředky,
"Dovoz (v mil. Kč, CIF)",Česko,listopad 2022,8 Průmyslové spotřební zboží,
"Dovoz (v mil. Kč, CIF)",Česko,listopad 2022,"9 Komodity a předměty obchodu, j. n.",
"Dovoz (v mil. Kč, CIF)",Česko,říjen 2022,0 Potraviny a živá zvířata,
"Dovoz (v mil. Kč, CIF)",Česko,říjen 2022,1 Nápoje a tabák,
"Dovoz (v mil. Kč, CIF)",Česko,říjen 2022,"2 Suroviny nepoživatelné, s výjimkou paliv",
"Dovoz (v mil. Kč, CIF)",Česko,říjen 2022,"3 Minerální paliva, maziva a příbuzné materiály",
"Dovoz (v mil. Kč, CIF)",Česko,říjen 2022,"4 Živočišné a rostlinné oleje, tuky a vosky",
"Dovoz (v mil. Kč, CIF)",Česko,říjen 2022,"5 Chemikálie a příbuzné výrobky, j. n.",
"Dovoz (v mil. Kč, CIF)",Česko,říjen 2022,6 Tržní výrobky tříděné hlavně podle materiálu,
"Dovoz (v mil. Kč, CIF)",Česko,říjen 2022,7 Stroje a dopravní prostředky,
"Dovoz (v mil. Kč, CIF)",Česko,říjen 2022,8 Průmyslové spotřební zboží,
"Dovoz (v mil. Kč, CIF)",Česko,říjen 2022,"9 Komodity a předměty obchodu, j. n.",
"Dovoz (v mil. Kč, CIF)",Česko,září 2022,0 Potraviny a živá zvířata,
"Dovoz (v mil. Kč, CIF)",Česko,září 2022,1 Nápoje a tabák,
"Dovoz (v mil. Kč, CIF)",Česko,září 2022,"2 Suroviny nepoživatelné, s výjimkou paliv",
"Dovoz (v mil. Kč, CIF)",Česko,září 2022,"3 Minerální paliva, maziva a příbuzné materiály",
"Dovoz (v mil. Kč, CIF)",Česko,září 2022,"4 Živočišné a rostlinné oleje, tuky a vosky",
"Dovoz (v mil. Kč, CIF)",Česko,září 2022,"5 Chemikálie a příbuzné výrobky, j. n.",
"Dovoz (v mil. Kč, CIF)",Česko,září 2022,6 Tržní výrobky tříděné hlavně podle materiálu,
"Dovoz (v mil. Kč, CIF)",Česko,září 2022,7 Stroje a dopravní prostředky,
"Dovoz (v mil. Kč, CIF)",Česko,září 2022,8 Průmyslové spotřební zboží,
"Dovoz (v mil. Kč, CIF)",Česko,září 2022,"9 Komodity a předměty obchodu, j. n.",
