Území;Ukazatel;Typ ceny;Měsíce;Komodity SITC;value
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;březen 2021;6 Tržní výrobky tříděné hlavně podle materiálu;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;březen 2021;7 Stroje a dopravní prostředky;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;březen 2021;8 Průmyslové spotřební zboží;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;březen 2021;9 Komodity a předměty obchodu, j. n.;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;únor 2021;0 Potraviny a živá zvířata;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;únor 2021;1 Nápoje a tabák;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;únor 2021;2 Suroviny nepoživatelné, s výjimkou paliv;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;únor 2021;3 Minerální paliva, maziva a příbuzné materiály;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;únor 2021;4 Živočišné a rostlinné oleje, tuky a vosky;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;únor 2021;5 Chemikálie a příbuzné výrobky, j. n.;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;únor 2021;6 Tržní výrobky tříděné hlavně podle materiálu;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;únor 2021;7 Stroje a dopravní prostředky;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;únor 2021;8 Průmyslové spotřební zboží;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;únor 2021;9 Komodity a předměty obchodu, j. n.;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;leden 2021;0 Potraviny a živá zvířata;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;leden 2021;1 Nápoje a tabák;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;leden 2021;2 Suroviny nepoživatelné, s výjimkou paliv;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;leden 2021;3 Minerální paliva, maziva a příbuzné materiály;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;leden 2021;4 Živočišné a rostlinné oleje, tuky a vosky;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;leden 2021;5 Chemikálie a příbuzné výrobky, j. n.;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;leden 2021;6 Tržní výrobky tříděné hlavně podle materiálu;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;leden 2021;7 Stroje a dopravní prostředky;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;leden 2021;8 Průmyslové spotřební zboží;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;leden 2021;9 Komodity a předměty obchodu, j. n.;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;prosinec 2020;0 Potraviny a živá zvířata;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;prosinec 2020;1 Nápoje a tabák;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;prosinec 2020;2 Suroviny nepoživatelné, s výjimkou paliv;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;prosinec 2020;3 Minerální paliva, maziva a příbuzné materiály;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;prosinec 2020;4 Živočišné a rostlinné oleje, tuky a vosky;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;prosinec 2020;5 Chemikálie a příbuzné výrobky, j. n.;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;prosinec 2020;6 Tržní výrobky tříděné hlavně podle materiálu;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;prosinec 2020;7 Stroje a dopravní prostředky;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;prosinec 2020;8 Průmyslové spotřební zboží;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;prosinec 2020;9 Komodity a předměty obchodu, j. n.;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;listopad 2020;0 Potraviny a živá zvířata;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;listopad 2020;1 Nápoje a tabák;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;listopad 2020;2 Suroviny nepoživatelné, s výjimkou paliv;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;listopad 2020;3 Minerální paliva, maziva a příbuzné materiály;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;listopad 2020;4 Živočišné a rostlinné oleje, tuky a vosky;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;listopad 2020;5 Chemikálie a příbuzné výrobky, j. n.;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;listopad 2020;6 Tržní výrobky tříděné hlavně podle materiálu;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;listopad 2020;7 Stroje a dopravní prostředky;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;listopad 2020;8 Průmyslové spotřební zboží;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;listopad 2020;9 Komodity a předměty obchodu, j. n.;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;říjen 2020;0 Potraviny a živá zvířata;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;říjen 2020;1 Nápoje a tabák;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;říjen 2020;2 Suroviny nepoživatelné, s výjimkou paliv;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;říjen 2020;3 Minerální paliva, maziva a příbuzné materiály;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;říjen 2020;4 Živočišné a rostlinné oleje, tuky a vosky;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;říjen 2020;5 Chemikálie a příbuzné výrobky, j. n.;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;říjen 2020;6 Tržní výrobky tříděné hlavně podle materiálu;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;říjen 2020;7 Stroje a dopravní prostředky;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;říjen 2020;8 Průmyslové spotřební zboží;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;říjen 2020;9 Komodity a předměty obchodu, j. n.;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;září 2020;0 Potraviny a živá zvířata;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;září 2020;1 Nápoje a tabák;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;září 2020;2 Suroviny nepoživatelné, s výjimkou paliv;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;září 2020;3 Minerální paliva, maziva a příbuzné materiály;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;září 2020;4 Živočišné a rostlinné oleje, tuky a vosky;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;září 2020;5 Chemikálie a příbuzné výrobky, j. n.;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;září 2020;6 Tržní výrobky tříděné hlavně podle materiálu;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;září 2020;7 Stroje a dopravní prostředky;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;září 2020;8 Průmyslové spotřební zboží;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;září 2020;9 Komodity a předměty obchodu, j. n.;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;srpen 2020;0 Potraviny a živá zvířata;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;srpen 2020;1 Nápoje a tabák;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;srpen 2020;2 Suroviny nepoživatelné, s výjimkou paliv;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;srpen 2020;3 Minerální paliva, maziva a příbuzné materiály;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;srpen 2020;4 Živočišné a rostlinné oleje, tuky a vosky;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;srpen 2020;5 Chemikálie a příbuzné výrobky, j. n.;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;srpen 2020;6 Tržní výrobky tříděné hlavně podle materiálu;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;srpen 2020;7 Stroje a dopravní prostředky;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;srpen 2020;8 Průmyslové spotřební zboží;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;srpen 2020;9 Komodity a předměty obchodu, j. n.;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;červenec 2020;0 Potraviny a živá zvířata;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;červenec 2020;1 Nápoje a tabák;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;červenec 2020;2 Suroviny nepoživatelné, s výjimkou paliv;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;červenec 2020;3 Minerální paliva, maziva a příbuzné materiály;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;červenec 2020;4 Živočišné a rostlinné oleje, tuky a vosky;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;červenec 2020;5 Chemikálie a příbuzné výrobky, j. n.;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;červenec 2020;6 Tržní výrobky tříděné hlavně podle materiálu;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;červenec 2020;7 Stroje a dopravní prostředky;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;červenec 2020;8 Průmyslové spotřební zboží;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;červenec 2020;9 Komodity a předměty obchodu, j. n.;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;červen 2020;0 Potraviny a živá zvířata;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;červen 2020;1 Nápoje a tabák;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;červen 2020;2 Suroviny nepoživatelné, s výjimkou paliv;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;červen 2020;3 Minerální paliva, maziva a příbuzné materiály;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;červen 2020;4 Živočišné a rostlinné oleje, tuky a vosky;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;červen 2020;5 Chemikálie a příbuzné výrobky, j. n.;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;červen 2020;6 Tržní výrobky tříděné hlavně podle materiálu;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;červen 2020;7 Stroje a dopravní prostředky;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;červen 2020;8 Průmyslové spotřební zboží;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;červen 2020;9 Komodity a předměty obchodu, j. n.;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;květen 2020;0 Potraviny a živá zvířata;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;květen 2020;1 Nápoje a tabák;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;květen 2020;2 Suroviny nepoživatelné, s výjimkou paliv;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;květen 2020;3 Minerální paliva, maziva a příbuzné materiály;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;květen 2020;4 Živočišné a rostlinné oleje, tuky a vosky;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;květen 2020;5 Chemikálie a příbuzné výrobky, j. n.;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;květen 2020;6 Tržní výrobky tříděné hlavně podle materiálu;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;květen 2020;7 Stroje a dopravní prostředky;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;květen 2020;8 Průmyslové spotřební zboží;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;květen 2020;9 Komodity a předměty obchodu, j. n.;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;duben 2020;0 Potraviny a živá zvířata;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;duben 2020;1 Nápoje a tabák;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;duben 2020;2 Suroviny nepoživatelné, s výjimkou paliv;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;duben 2020;3 Minerální paliva, maziva a příbuzné materiály;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;duben 2020;4 Živočišné a rostlinné oleje, tuky a vosky;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;duben 2020;5 Chemikálie a příbuzné výrobky, j. n.;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;duben 2020;6 Tržní výrobky tříděné hlavně podle materiálu;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;duben 2020;7 Stroje a dopravní prostředky;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;duben 2020;8 Průmyslové spotřební zboží;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;duben 2020;9 Komodity a předměty obchodu, j. n.;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;březen 2020;0 Potraviny a živá zvířata;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;březen 2020;1 Nápoje a tabák;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;březen 2020;2 Suroviny nepoživatelné, s výjimkou paliv;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;březen 2020;3 Minerální paliva, maziva a příbuzné materiály;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;březen 2020;4 Živočišné a rostlinné oleje, tuky a vosky;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;březen 2020;5 Chemikálie a příbuzné výrobky, j. n.;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;březen 2020;6 Tržní výrobky tříděné hlavně podle materiálu;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;březen 2020;7 Stroje a dopravní prostředky;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;březen 2020;8 Průmyslové spotřební zboží;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;březen 2020;9 Komodity a předměty obchodu, j. n.;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;únor 2020;0 Potraviny a živá zvířata;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;únor 2020;1 Nápoje a tabák;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;únor 2020;2 Suroviny nepoživatelné, s výjimkou paliv;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;únor 2020;3 Minerální paliva, maziva a příbuzné materiály;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;únor 2020;4 Živočišné a rostlinné oleje, tuky a vosky;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;únor 2020;5 Chemikálie a příbuzné výrobky, j. n.;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;únor 2020;6 Tržní výrobky tříděné hlavně podle materiálu;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;únor 2020;7 Stroje a dopravní prostředky;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;únor 2020;8 Průmyslové spotřební zboží;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;únor 2020;9 Komodity a předměty obchodu, j. n.;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;leden 2020;0 Potraviny a živá zvířata;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;leden 2020;1 Nápoje a tabák;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;leden 2020;2 Suroviny nepoživatelné, s výjimkou paliv;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;leden 2020;3 Minerální paliva, maziva a příbuzné materiály;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;leden 2020;4 Živočišné a rostlinné oleje, tuky a vosky;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;leden 2020;5 Chemikálie a příbuzné výrobky, j. n.;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;leden 2020;6 Tržní výrobky tříděné hlavně podle materiálu;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;leden 2020;7 Stroje a dopravní prostředky;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;leden 2020;8 Průmyslové spotřební zboží;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;leden 2020;9 Komodity a předměty obchodu, j. n.;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;prosinec 2019;0 Potraviny a živá zvířata;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;prosinec 2019;1 Nápoje a tabák;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;prosinec 2019;2 Suroviny nepoživatelné, s výjimkou paliv;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;prosinec 2019;3 Minerální paliva, maziva a příbuzné materiály;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;prosinec 2019;4 Živočišné a rostlinné oleje, tuky a vosky;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;prosinec 2019;5 Chemikálie a příbuzné výrobky, j. n.;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;prosinec 2019;6 Tržní výrobky tříděné hlavně podle materiálu;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;prosinec 2019;7 Stroje a dopravní prostředky;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;prosinec 2019;8 Průmyslové spotřební zboží;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;prosinec 2019;9 Komodity a předměty obchodu, j. n.;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;listopad 2019;0 Potraviny a živá zvířata;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;listopad 2019;1 Nápoje a tabák;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;listopad 2019;2 Suroviny nepoživatelné, s výjimkou paliv;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;listopad 2019;3 Minerální paliva, maziva a příbuzné materiály;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;listopad 2019;4 Živočišné a rostlinné oleje, tuky a vosky;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;listopad 2019;5 Chemikálie a příbuzné výrobky, j. n.;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;listopad 2019;6 Tržní výrobky tříděné hlavně podle materiálu;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;listopad 2019;7 Stroje a dopravní prostředky;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;listopad 2019;8 Průmyslové spotřební zboží;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;listopad 2019;9 Komodity a předměty obchodu, j. n.;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;říjen 2019;0 Potraviny a živá zvířata;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;říjen 2019;1 Nápoje a tabák;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;říjen 2019;2 Suroviny nepoživatelné, s výjimkou paliv;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;říjen 2019;3 Minerální paliva, maziva a příbuzné materiály;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;říjen 2019;4 Živočišné a rostlinné oleje, tuky a vosky;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;říjen 2019;5 Chemikálie a příbuzné výrobky, j. n.;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;říjen 2019;6 Tržní výrobky tříděné hlavně podle materiálu;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;říjen 2019;7 Stroje a dopravní prostředky;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;říjen 2019;8 Průmyslové spotřební zboží;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;říjen 2019;9 Komodity a předměty obchodu, j. n.;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;září 2019;0 Potraviny a živá zvířata;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;září 2019;1 Nápoje a tabák;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;září 2019;2 Suroviny nepoživatelné, s výjimkou paliv;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;září 2019;3 Minerální paliva, maziva a příbuzné materiály;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;září 2019;4 Živočišné a rostlinné oleje, tuky a vosky;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;září 2019;5 Chemikálie a příbuzné výrobky, j. n.;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;září 2019;6 Tržní výrobky tříděné hlavně podle materiálu;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;září 2019;7 Stroje a dopravní prostředky;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;září 2019;8 Průmyslové spotřební zboží;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;září 2019;9 Komodity a předměty obchodu, j. n.;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;srpen 2019;0 Potraviny a živá zvířata;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;srpen 2019;1 Nápoje a tabák;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;srpen 2019;2 Suroviny nepoživatelné, s výjimkou paliv;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;srpen 2019;3 Minerální paliva, maziva a příbuzné materiály;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;srpen 2019;4 Živočišné a rostlinné oleje, tuky a vosky;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;srpen 2019;5 Chemikálie a příbuzné výrobky, j. n.;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;srpen 2019;6 Tržní výrobky tříděné hlavně podle materiálu;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;srpen 2019;7 Stroje a dopravní prostředky;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;srpen 2019;8 Průmyslové spotřební zboží;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;srpen 2019;9 Komodity a předměty obchodu, j. n.;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;červenec 2019;0 Potraviny a živá zvířata;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;červenec 2019;1 Nápoje a tabák;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;červenec 2019;2 Suroviny nepoživatelné, s výjimkou paliv;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;červenec 2019;3 Minerální paliva, maziva a příbuzné materiály;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;červenec 2019;4 Živočišné a rostlinné oleje, tuky a vosky;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;červenec 2019;5 Chemikálie a příbuzné výrobky, j. n.;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;červenec 2019;6 Tržní výrobky tříděné hlavně podle materiálu;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;červenec 2019;7 Stroje a dopravní prostředky;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;červenec 2019;8 Průmyslové spotřební zboží;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;červenec 2019;9 Komodity a předměty obchodu, j. n.;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;červen 2019;0 Potraviny a živá zvířata;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;červen 2019;1 Nápoje a tabák;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;červen 2019;2 Suroviny nepoživatelné, s výjimkou paliv;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;červen 2019;3 Minerální paliva, maziva a příbuzné materiály;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;červen 2019;4 Živočišné a rostlinné oleje, tuky a vosky;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;červen 2019;5 Chemikálie a příbuzné výrobky, j. n.;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;červen 2019;6 Tržní výrobky tříděné hlavně podle materiálu;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;červen 2019;7 Stroje a dopravní prostředky;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;červen 2019;8 Průmyslové spotřební zboží;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;červen 2019;9 Komodity a předměty obchodu, j. n.;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;květen 2019;0 Potraviny a živá zvířata;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;květen 2019;1 Nápoje a tabák;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;květen 2019;2 Suroviny nepoživatelné, s výjimkou paliv;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;květen 2019;3 Minerální paliva, maziva a příbuzné materiály;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;květen 2019;4 Živočišné a rostlinné oleje, tuky a vosky;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;květen 2019;5 Chemikálie a příbuzné výrobky, j. n.;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;květen 2019;6 Tržní výrobky tříděné hlavně podle materiálu;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;květen 2019;7 Stroje a dopravní prostředky;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;květen 2019;8 Průmyslové spotřební zboží;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;květen 2019;9 Komodity a předměty obchodu, j. n.;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;duben 2019;0 Potraviny a živá zvířata;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;duben 2019;1 Nápoje a tabák;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;duben 2019;2 Suroviny nepoživatelné, s výjimkou paliv;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;duben 2019;3 Minerální paliva, maziva a příbuzné materiály;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;duben 2019;4 Živočišné a rostlinné oleje, tuky a vosky;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;duben 2019;5 Chemikálie a příbuzné výrobky, j. n.;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;duben 2019;6 Tržní výrobky tříděné hlavně podle materiálu;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;duben 2019;7 Stroje a dopravní prostředky;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;duben 2019;8 Průmyslové spotřební zboží;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;duben 2019;9 Komodity a předměty obchodu, j. n.;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;březen 2019;0 Potraviny a živá zvířata;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;březen 2019;1 Nápoje a tabák;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;březen 2019;2 Suroviny nepoživatelné, s výjimkou paliv;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;březen 2019;3 Minerální paliva, maziva a příbuzné materiály;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;březen 2019;4 Živočišné a rostlinné oleje, tuky a vosky;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;březen 2019;5 Chemikálie a příbuzné výrobky, j. n.;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;březen 2019;6 Tržní výrobky tříděné hlavně podle materiálu;
Česko;Vývoz (v mil. Kč, FOB);Běžné ceny;březen 2019;7 Stroje a dopravní prostředky;
