Území;Měsíce;Typ ceny;Očištění;Země;Ukazatel;value
Česko;prosinec 2024;Běžné ceny;Bez očištění;Botswana;Bilance (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Botswana;Obrat zboží (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Botswana;Vývoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Botswana;Dovoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Botswana;Obrat zboží (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Bouvetův ostrov;Vývoz (v mil. Kč, FOB);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Bouvetův ostrov;Dovoz (v mil. Kč, CIF);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Bouvetův ostrov;Bilance (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Bouvetův ostrov;Obrat zboží (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Bouvetův ostrov;Vývoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Bouvetův ostrov;Dovoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Bouvetův ostrov;Obrat zboží (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Brazílie;Vývoz (v mil. Kč, FOB);856.451059
Česko;prosinec 2024;Běžné ceny;Bez očištění;Brazílie;Dovoz (v mil. Kč, CIF);361.62429
Česko;prosinec 2024;Běžné ceny;Bez očištění;Brazílie;Bilance (v mil. Kč);494.826769
Česko;prosinec 2024;Běžné ceny;Bez očištění;Brazílie;Obrat zboží (v mil. Kč);1218.075349
Česko;prosinec 2024;Běžné ceny;Bez očištění;Brazílie;Vývoz (meziroční index);119.2889736624
Česko;prosinec 2024;Běžné ceny;Bez očištění;Brazílie;Dovoz (meziroční index);72.3936731091
Česko;prosinec 2024;Běžné ceny;Bez očištění;Brazílie;Obrat zboží (meziroční index);100.0482408853
Česko;prosinec 2024;Běžné ceny;Bez očištění;Britské indickooceánské území;Vývoz (v mil. Kč, FOB);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Britské indickooceánské území;Dovoz (v mil. Kč, CIF);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Britské indickooceánské území;Bilance (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Britské indickooceánské území;Obrat zboží (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Britské indickooceánské území;Vývoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Britské indickooceánské území;Dovoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Britské indickooceánské území;Obrat zboží (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Britské Panenské ostrovy;Vývoz (v mil. Kč, FOB);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Britské Panenské ostrovy;Dovoz (v mil. Kč, CIF);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Britské Panenské ostrovy;Bilance (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Britské Panenské ostrovy;Obrat zboží (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Britské Panenské ostrovy;Vývoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Britské Panenské ostrovy;Dovoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Britské Panenské ostrovy;Obrat zboží (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Brunej Darussalam;Vývoz (v mil. Kč, FOB);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Brunej Darussalam;Dovoz (v mil. Kč, CIF);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Brunej Darussalam;Bilance (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Brunej Darussalam;Obrat zboží (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Brunej Darussalam;Vývoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Brunej Darussalam;Dovoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Brunej Darussalam;Obrat zboží (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Bulharsko;Vývoz (v mil. Kč, FOB);2148.170209
Česko;prosinec 2024;Běžné ceny;Bez očištění;Bulharsko;Dovoz (v mil. Kč, CIF);2886.869397
Česko;prosinec 2024;Běžné ceny;Bez očištění;Bulharsko;Bilance (v mil. Kč);-738.699188
Česko;prosinec 2024;Běžné ceny;Bez očištění;Bulharsko;Obrat zboží (v mil. Kč);5035.039606
Česko;prosinec 2024;Běžné ceny;Bez očištění;Bulharsko;Vývoz (meziroční index);107.5771380981
Česko;prosinec 2024;Běžné ceny;Bez očištění;Bulharsko;Dovoz (meziroční index);140.8851030671
Česko;prosinec 2024;Běžné ceny;Bez očištění;Bulharsko;Obrat zboží (meziroční index);124.4461091778
Česko;prosinec 2024;Běžné ceny;Bez očištění;Burkina Faso;Vývoz (v mil. Kč, FOB);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Burkina Faso;Dovoz (v mil. Kč, CIF);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Burkina Faso;Bilance (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Burkina Faso;Obrat zboží (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Burkina Faso;Vývoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Burkina Faso;Dovoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Burkina Faso;Obrat zboží (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Burundi;Vývoz (v mil. Kč, FOB);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Burundi;Dovoz (v mil. Kč, CIF);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Burundi;Bilance (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Burundi;Obrat zboží (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Burundi;Vývoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Burundi;Dovoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Burundi;Obrat zboží (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Ceuta;Vývoz (v mil. Kč, FOB);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Ceuta;Dovoz (v mil. Kč, CIF);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Ceuta;Bilance (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Ceuta;Obrat zboží (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Ceuta;Vývoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Ceuta;Dovoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Ceuta;Obrat zboží (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Cookovy ostrovy;Vývoz (v mil. Kč, FOB);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Cookovy ostrovy;Dovoz (v mil. Kč, CIF);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Cookovy ostrovy;Bilance (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Cookovy ostrovy;Obrat zboží (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Cookovy ostrovy;Vývoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Cookovy ostrovy;Dovoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Cookovy ostrovy;Obrat zboží (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Curaçao;Vývoz (v mil. Kč, FOB);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Curaçao;Dovoz (v mil. Kč, CIF);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Curaçao;Bilance (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Curaçao;Obrat zboží (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Curaçao;Vývoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Curaçao;Dovoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Curaçao;Obrat zboží (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Čad;Vývoz (v mil. Kč, FOB);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Čad;Dovoz (v mil. Kč, CIF);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Čad;Bilance (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Čad;Obrat zboží (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Čad;Vývoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Čad;Dovoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Čad;Obrat zboží (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Černá Hora;Vývoz (v mil. Kč, FOB);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Černá Hora;Dovoz (v mil. Kč, CIF);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Černá Hora;Bilance (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Černá Hora;Obrat zboží (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Černá Hora;Vývoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Černá Hora;Dovoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Černá Hora;Obrat zboží (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Česko;Vývoz (v mil. Kč, FOB);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Česko;Dovoz (v mil. Kč, CIF);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Česko;Bilance (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Česko;Obrat zboží (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Česko;Vývoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Česko;Dovoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Česko;Obrat zboží (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Čína;Vývoz (v mil. Kč, FOB);5100.780117
Česko;prosinec 2024;Běžné ceny;Bez očištění;Čína;Dovoz (v mil. Kč, CIF);40703.773185
Česko;prosinec 2024;Běžné ceny;Bez očištění;Čína;Bilance (v mil. Kč);-35602.993068
Česko;prosinec 2024;Běžné ceny;Bez očištění;Čína;Obrat zboží (v mil. Kč);45804.553302
Česko;prosinec 2024;Běžné ceny;Bez očištění;Čína;Vývoz (meziroční index);117.1629024563
Česko;prosinec 2024;Běžné ceny;Bez očištění;Čína;Dovoz (meziroční index);114.9383098853
Česko;prosinec 2024;Běžné ceny;Bez očištění;Čína;Obrat zboží (meziroční index);115.1818510422
Česko;prosinec 2024;Běžné ceny;Bez očištění;Dánsko;Vývoz (v mil. Kč, FOB);2428.506134
Česko;prosinec 2024;Běžné ceny;Bez očištění;Dánsko;Dovoz (v mil. Kč, CIF);1915.209512
Česko;prosinec 2024;Běžné ceny;Bez očištění;Dánsko;Bilance (v mil. Kč);513.296622
Česko;prosinec 2024;Běžné ceny;Bez očištění;Dánsko;Obrat zboží (v mil. Kč);4343.715646
Česko;prosinec 2024;Běžné ceny;Bez očištění;Dánsko;Vývoz (meziroční index);99.1412287212
Česko;prosinec 2024;Běžné ceny;Bez očištění;Dánsko;Dovoz (meziroční index);117.4016268904
Česko;prosinec 2024;Běžné ceny;Bez očištění;Dánsko;Obrat zboží (meziroční index);106.4408326098
Česko;prosinec 2024;Běžné ceny;Bez očištění;Demokratická republika Kongo;Vývoz (v mil. Kč, FOB);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Demokratická republika Kongo;Dovoz (v mil. Kč, CIF);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Demokratická republika Kongo;Bilance (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Demokratická republika Kongo;Obrat zboží (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Demokratická republika Kongo;Vývoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Demokratická republika Kongo;Dovoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Demokratická republika Kongo;Obrat zboží (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Dominika;Vývoz (v mil. Kč, FOB);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Dominika;Dovoz (v mil. Kč, CIF);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Dominika;Bilance (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Dominika;Obrat zboží (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Dominika;Vývoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Dominika;Dovoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Dominika;Obrat zboží (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Dominikánská republika;Vývoz (v mil. Kč, FOB);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Dominikánská republika;Dovoz (v mil. Kč, CIF);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Dominikánská republika;Bilance (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Dominikánská republika;Obrat zboží (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Dominikánská republika;Vývoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Dominikánská republika;Dovoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Dominikánská republika;Obrat zboží (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Džibutsko;Vývoz (v mil. Kč, FOB);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Džibutsko;Dovoz (v mil. Kč, CIF);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Džibutsko;Bilance (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Džibutsko;Obrat zboží (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Džibutsko;Vývoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Džibutsko;Dovoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Džibutsko;Obrat zboží (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Egypt;Vývoz (v mil. Kč, FOB);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Egypt;Dovoz (v mil. Kč, CIF);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Egypt;Bilance (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Egypt;Obrat zboží (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Egypt;Vývoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Egypt;Dovoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Egypt;Obrat zboží (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Ekvádor;Vývoz (v mil. Kč, FOB);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Ekvádor;Dovoz (v mil. Kč, CIF);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Ekvádor;Bilance (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Ekvádor;Obrat zboží (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Ekvádor;Vývoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Ekvádor;Dovoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Ekvádor;Obrat zboží (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Eritrea;Vývoz (v mil. Kč, FOB);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Eritrea;Dovoz (v mil. Kč, CIF);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Eritrea;Bilance (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Eritrea;Obrat zboží (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Eritrea;Vývoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Eritrea;Dovoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Eritrea;Obrat zboží (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Estonsko;Vývoz (v mil. Kč, FOB);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Estonsko;Dovoz (v mil. Kč, CIF);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Estonsko;Bilance (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Estonsko;Obrat zboží (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Estonsko;Vývoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Estonsko;Dovoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Estonsko;Obrat zboží (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Etiopie;Vývoz (v mil. Kč, FOB);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Etiopie;Dovoz (v mil. Kč, CIF);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Etiopie;Bilance (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Etiopie;Obrat zboží (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Etiopie;Vývoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Etiopie;Dovoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Etiopie;Obrat zboží (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Evropská unie;Vývoz (v mil. Kč, FOB);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Evropská unie;Dovoz (v mil. Kč, CIF);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Evropská unie;Bilance (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Evropská unie;Obrat zboží (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Evropská unie;Vývoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Evropská unie;Dovoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Evropská unie;Obrat zboží (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Faerské ostrovy;Vývoz (v mil. Kč, FOB);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Faerské ostrovy;Dovoz (v mil. Kč, CIF);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Faerské ostrovy;Bilance (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Faerské ostrovy;Obrat zboží (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Faerské ostrovy;Vývoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Faerské ostrovy;Dovoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Faerské ostrovy;Obrat zboží (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Falklandské ostrovy;Vývoz (v mil. Kč, FOB);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Falklandské ostrovy;Dovoz (v mil. Kč, CIF);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Falklandské ostrovy;Bilance (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Falklandské ostrovy;Obrat zboží (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Falklandské ostrovy;Vývoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Falklandské ostrovy;Dovoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Falklandské ostrovy;Obrat zboží (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Federativní státy Mikronésie;Vývoz (v mil. Kč, FOB);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Federativní státy Mikronésie;Dovoz (v mil. Kč, CIF);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Federativní státy Mikronésie;Bilance (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Federativní státy Mikronésie;Obrat zboží (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Federativní státy Mikronésie;Vývoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Federativní státy Mikronésie;Dovoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Federativní státy Mikronésie;Obrat zboží (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Fidži;Vývoz (v mil. Kč, FOB);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Fidži;Dovoz (v mil. Kč, CIF);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Fidži;Bilance (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Fidži;Obrat zboží (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Fidži;Vývoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Fidži;Dovoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Fidži;Obrat zboží (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Filipíny;Vývoz (v mil. Kč, FOB);198.628667
Česko;prosinec 2024;Běžné ceny;Bez očištění;Filipíny;Dovoz (v mil. Kč, CIF);733.164425
Česko;prosinec 2024;Běžné ceny;Bez očištění;Filipíny;Bilance (v mil. Kč);-534.535758
Česko;prosinec 2024;Běžné ceny;Bez očištění;Filipíny;Obrat zboží (v mil. Kč);931.793092
Česko;prosinec 2024;Běžné ceny;Bez očištění;Filipíny;Vývoz (meziroční index);139.486421496
Česko;prosinec 2024;Běžné ceny;Bez očištění;Filipíny;Dovoz (meziroční index);116.7773079162
Česko;prosinec 2024;Běžné ceny;Bez očištění;Filipíny;Obrat zboží (meziroční index);120.9757584932
Česko;prosinec 2024;Běžné ceny;Bez očištění;Finsko;Vývoz (v mil. Kč, FOB);1196.107449
Česko;prosinec 2024;Běžné ceny;Bez očištění;Finsko;Dovoz (v mil. Kč, CIF);1008.256595
Česko;prosinec 2024;Běžné ceny;Bez očištění;Finsko;Bilance (v mil. Kč);187.850854
Česko;prosinec 2024;Běžné ceny;Bez očištění;Finsko;Obrat zboží (v mil. Kč);2204.364044
Česko;prosinec 2024;Běžné ceny;Bez očištění;Finsko;Vývoz (meziroční index);92.4666432276
Česko;prosinec 2024;Běžné ceny;Bez očištění;Finsko;Dovoz (meziroční index);114.3113077524
Česko;prosinec 2024;Běžné ceny;Bez očištění;Finsko;Obrat zboží (meziroční index);101.3229301859
Česko;prosinec 2024;Běžné ceny;Bez očištění;Francie;Vývoz (v mil. Kč, FOB);13148.313535
Česko;prosinec 2024;Běžné ceny;Bez očištění;Francie;Dovoz (v mil. Kč, CIF);9486.414776
Česko;prosinec 2024;Běžné ceny;Bez očištění;Francie;Bilance (v mil. Kč);3661.898759
Česko;prosinec 2024;Běžné ceny;Bez očištění;Francie;Obrat zboží (v mil. Kč);22634.728311
Česko;prosinec 2024;Běžné ceny;Bez očištění;Francie;Vývoz (meziroční index);88.632337361
Česko;prosinec 2024;Běžné ceny;Bez očištění;Francie;Dovoz (meziroční index);100.2628783222
Česko;prosinec 2024;Běžné ceny;Bez očištění;Francie;Obrat zboží (meziroční index);93.1615562005
Česko;prosinec 2024;Běžné ceny;Bez očištění;Francouzská jižní území;Vývoz (v mil. Kč, FOB);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Francouzská jižní území;Dovoz (v mil. Kč, CIF);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Francouzská jižní území;Bilance (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Francouzská jižní území;Obrat zboží (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Francouzská jižní území;Vývoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Francouzská jižní území;Dovoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Francouzská jižní území;Obrat zboží (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Francouzská Polynésie;Vývoz (v mil. Kč, FOB);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Francouzská Polynésie;Dovoz (v mil. Kč, CIF);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Francouzská Polynésie;Bilance (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Francouzská Polynésie;Obrat zboží (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Francouzská Polynésie;Vývoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Francouzská Polynésie;Dovoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Francouzská Polynésie;Obrat zboží (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Gabon;Vývoz (v mil. Kč, FOB);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Gabon;Dovoz (v mil. Kč, CIF);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Gabon;Bilance (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Gabon;Obrat zboží (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Gabon;Vývoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Gabon;Dovoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Gabon;Obrat zboží (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Gambie;Vývoz (v mil. Kč, FOB);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Gambie;Dovoz (v mil. Kč, CIF);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Gambie;Bilance (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Gambie;Obrat zboží (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Gambie;Vývoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Gambie;Dovoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Gambie;Obrat zboží (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Ghana;Vývoz (v mil. Kč, FOB);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Ghana;Dovoz (v mil. Kč, CIF);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Ghana;Bilance (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Ghana;Obrat zboží (v mil. Kč);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Ghana;Vývoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Ghana;Dovoz (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Ghana;Obrat zboží (meziroční index);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Gibraltar;Vývoz (v mil. Kč, FOB);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Gibraltar;Dovoz (v mil. Kč, CIF);
Česko;prosinec 2024;Běžné ceny;Bez očištění;Gibraltar;Bilance (v mil. Kč);
